Date,Open,High,Low,Close,Adj Close,Volume
,,,,,,7851200
,,,,,,8461600
,,,,,,8601600
,,,,,,13658400
,,,,,,7498400
,,,,,,8803200
,,,,,,10432800
,,,,,,7291200
,,,,,,4967200
,,,,,,7134400
,,,,,,4390400
,,,,,,13188000
,,,,,,11037600
,,,,,,6669600
,,,,,,6288800
,,,,,,8954400
,,,,,,16906400
,,,,,,13932800
,,,,,,14526400
,,,,,,21924000
,,,,,,7593600
,,,,,,41081600
,,,,,,32104800
,,,,,,15848000
,,,,,,28593600
,,,,,,17780000
,,,,,,16447200
,,,,,,19252800
,,,,,,20944000
,,,,,,12426400
,,,,,,17925600
,,,,,,8803200
,,,,,,4575200
,,,,,,14212800
,,,,,,8080800
,,,,,,13378400
,,,,,,15467200
,,,,,,9654400
,,,,,,23598400
,,,,,,22467200
,,,,,,20966400
,,,,,,17438400
,,,,,,24208800
,,,,,,14028000
,,,,,,28061600
,,,,,,17472000
,,,,,,7655200
,,,,,,6490400
,,,,,,9604000
,,,,,,11933600
,,,,,,31264800
,,,,,,11905600
,,,,,,13714400
,,,,,,17421600
,,,,,,38942400
,,,,,,89269600
,,,,,,52645600
,,,,,,24662400
,,,,,,20109600
,,,,,,35140000
,,,,,,20641600
,,,,,,18855200
,,,,,,26135200
,,,,,,20344800
,,,,,,18082400
,,,,,,15898400
,,,,,,14016800
,,,,,,14722400
,,,,,,25373600
,,,,,,17936800
,,,,,,20092800
,,,,,,13512800
,,,,,,9783200
,,,,,,9167200
,,,,,,25844000
,,,,,,34955200
,,,,,,44548000
,,,,,,9536800
,,,,,,21380800
,,,,,,16391200
,,,,,,18670400
,,,,,,11564000
,,,,,,17332000
,,,,,,20059200
,,,,,,43383200
,,,,,,77918400
,,,,,,68885600
,,,,,,78433600
,,,,,,64736000
,,,,,,49711200
,,,,,,44665600
,,,,,,36153600
,,,,,,23587200
,,,,,,30710400
,,,,,,60524800
,,,,,,56879200
,,,,,,40420800
,,,,,,46233600
,,,,,,41938400
,,,,,,47790400
,,,,,,54420800
,,,,,,29528800
,,,,,,26090400
,,,,,,77711200
,,,,,,58783200
,,,,,,82269600
,,,,,,35375200
,,,,,,29797600
,,,,,,44945600
,,,,,,50696800
,,,,,,30788800
,,,,,,32776800
,,,,,,31147200
,,,,,,45505600
,,,,,,36036000
,,,,,,38169600
,,,,,,24326400
,,,,,,25312000
,,,,,,22125600
,,,,,,18435200
,,,,,,25496800
,,,,,,12488000
,,,,,,39799200
,,,,,,51710400
,,,,,,41182400
,,,,,,11894400
,,,,,,36646400
,,,,,,41820800
,,,,,,28078400
,,,,,,48664000
,,,,,,41871200
,,,,,,23844800
,,,,,,67513600
,,,,,,32698400
,,,,,,35291200
,,,,,,20182400
,,,,,,17444000
,,,,,,19986400
,,,,,,25306400
,,,,,,21744800
,,,,,,15467200
,,,,,,28341600
,,,,,,20176800
,,,,,,39216800
,,,,,,12415200
,,,,,,28207200
,,,,,,55927200
,,,,,,35386400
,,,,,,24449600
,,,,,,43013600
,,,,,,68835200
,,,,,,347200
,,,,,,44245600
,,,,,,20568800
,,,,,,46160800
,,,,,,58716000
,,,,,,54947200
,,,,,,42414400
,,,,,,176960000
,,,,,,100648800
,,,,,,78853600
,,,,,,41759200
,,,,,,50803200
,,,,,,26079200
,,,,,,99433600
,,,,,,47000800
,,,,,,52740800
,,,,,,66763200
,,,,,,63134400
,,,,,,53586400
,,,,,,35728000
,,,,,,42028000
,,,,,,45203200
,,,,,,59180800
,,,,,,50887200
,,,,,,31544800
,,,,,,28795200
,,,,,,29142400
,,,,,,34042400
,,,,,,28722400
,,,,,,49196000
,,,,,,27008800
,,,,,,28873600
,,,,,,28672000
,,,,,,33073600
,,,,,,35067200
,,,,,,26488000
,,,,,,32883200
,,,,,,37951200
,,,,,,38169600
,,,,,,55160000
,,,,,,49834400
,,,,,,28151200
,,,,,,21940800
,,,,,,42968800
,,,,,,18765600
,,,,,,27742400
,,,,,,11037600
,,,,,,21532000
,,,,,,26006400
,,,,,,25250400
,,,,,,35190400
,,,,,,25614400
,,,,,,14515200
,,,,,,18642400
,,,,,,25933600
,,,,,,21952000
,,,,,,21285600
,,,,,,31847200
,,,,,,30525600
,,,,,,53496800
,,,,,,36377600
,,,,,,37564800
,,,,,,57618400
,,,,,,43512000
,,,,,,47443200
,,,,,,34092800
,,,,,,28750400
,,,,,,38892000
,,,,,,58469600
,,,,,,72083200
,,,,,,57512000
,,,,,,31796800
,,,,,,31427200
,,,,,,24858400
,,,,,,21509600
,,,,,,19852000
,,,,,,77078400
,,,,,,24270400
,,,,,,26499200
,,,,,,32278400
,,,,,,35123200
,,,,,,25037600
,,,,,,17292800
,,,,,,12975200
,,,,,,13815200
,,,,,,24606400
,,,,,,12241600
,,,,,,17298400
,,,,,,38589600
,,,,,,39250400
,,,,,,17572800
,,,,,,36523200
,,,,,,30436000
,,,,,,26924800
,,,,,,38432800
,,,,,,26392800
,,,,,,14156800
,,,,,,11384800
,,,,,,24522400
,,,,,,19857600
,,,,,,16133600
,,,,,,26023200
,,,,,,24544800
,,,,,,21011200
,,,,,,13697600
,,,,,,9357600
,,,,,,44816800
,,,,,,42632800
,,,,,,48339200
,,,,,,30721600
,,,,,,14011200
,,,,,,34893600
,,,,,,31365600
,,,,,,35240800
,,,,,,33499200
,,,,,,11911200
,,,,,,30760800
,,,,,,87292800
,,,,,,73595200
,,,,,,27641600
,,,,,,43064000
,,,,,,20512800
,,,,,,23979200
,,,,,,22360800
,,,,,,17544800
,,,,,,28229600
,,,,,,18799200
,,,,,,32250400
,,,,,,18726400
,,,,,,16990400
,,,,,,20406400
,,,,,,42784000
,,,,,,76221600
,,,,,,79346400
,,,,,,29108800
,,,,,,19107200
,,,,,,67244800
,,,,,,75079200
,,,,,,67620000
,,,,,,55081600
,,,,,,58111200
,,,,,,25412800
,,,,,,30956800
,,,,,,73029600
,,,,,,32855200
,,,,,,19202400
,,,,,,37592800
,,,,,,40493600
,,,,,,22545600
,,,,,,18659200
,,,,,,38068800
,,,,,,22842400
,,,,,,23609600
,,,,,,20434400
,,,,,,14649600
,,,,,,21341600
,,,,,,23396800
,,,,,,28324800
,,,,,,47443200
,,,,,,23296000
,,,,,,34574400
,,,,,,58486400
,,,,,,50058400
,,,,,,54532800
,,,,,,32334400
,,,,,,45421600
,,,,,,96213600
,,,,,,76764800
,,,,,,53172000
,,,,,,66578400
,,,,,,51044000
,,,,,,45382400
,,,,,,39709600
,,,,,,56436800
,,,,,,50495200
,,,,,,56604800
,,,,,,26588800
,,,,,,36030400
,,,,,,708086400
,,,,,,192192000
,,,,,,104277600
,,,,,,93374400
,,,,,,70694400
,,,,,,29467200
,,,,,,38225600
,,,,,,42403200
,,,,,,47667200
,,,,,,58234400
,,,,,,61583200
,,,,,,129281600
,,,,,,63190400
,,,,,,118154400
,,,,,,105128800
,,,,,,69815200
,,,,,,54779200
,,,,,,95743200
,,,,,,71848000
,,,,,,32922400
,,,,,,39250400
,,,,,,64848000
,,,,,,42112000
,,,,,,32228000
,,,,,,24460800
,,,,,,20300000
,,,,,,43293600
,,,,,,82096000
,,,,,,50618400
,,,,,,71500800
,,,,,,36685600
,,,,,,38029600
,,,,,,305379200
,,,,,,88368000
,,,,,,55518400
,,,,,,29008000
,,,,,,27070400
,,,,,,29657600
,,,,,,25569600
,,,,,,22596000
,,,,,,19975200
,,,,,,26252800
,,,,,,26297600
,,,,,,28588000
,,,,,,9324000
,,,,,,18099200
,,,,,,23822400
,,,,,,16083200
,,,,,,19168800
,,,,,,21341600
,,,,,,11289600
,,,,,,12997600
,,,,,,22288000
,,,,,,34406400
,,,,,,20692000
,,,,,,16284800
,,,,,,49386400
,,,,,,50472800
,,,,,,79150400
,,,,,,46216800
,,,,,,43400000
,,,,,,44436000
,,,,,,42946400
,,,,,,32636800
,,,,,,12140800
,,,,,,24108000
,,,,,,32138400
,,,,,,25687200
,,,,,,22965600
,,,,,,37548000
,,,,,,73152800
,,,,,,76428800
,,,,,,42123200
,,,,,,53933600
,,,,,,43047200
,,,,,,43988000
,,,,,,27585600
,,,,,,30436000
,,,,,,34395200
,,,,,,37268000
,,,,,,55126400
,,,,,,37430400
,,,,,,35336000
,,,,,,69591200
,,,,,,80057600
,,,,,,65968000
,,,,,,42123200
,,,,,,48524000
,,,,,,69367200
,,,,,,86273600
,,,,,,40779200
,,,,,,33728800
,,,,,,36372000
,,,,,,41389600
,,,,,,54432000
,,,,,,37055200
,,,,,,58699200
,,,,,,35991200
,,,,,,26432000
,,,,,,52264800
,,,,,,50209600
,,,,,,26308800
,,,,,,33661600
,,,,,,30072000
,,,,,,55843200
,,,,,,38763200
,,,,,,19454400
,,,,,,30391200
,,,,,,42481600
,,,,,,33510400
,,,,,,33090400
,,,,,,47812800
,,,,,,18401600
,,,,,,24746400
,,,,,,24141600
,,,,,,32446400
,,,,,,16514400
,,,,,,31259200
,,,,,,38220000
,,,,,,14901600
,,,,,,13820800
,,,,,,31175200
,,,,,,20647200
,,,,,,25132800
,,,,,,11916800
,,,,,,12796000
,,,,,,15282400
,,,,,,14240800
,,,,,,24824800
,,,,,,18872000
,,,,,,9794400
,,,,,,11435200
,,,,,,13664000
,,,,,,11026400
,,,,,,26919200
,,,,,,20703200
,,,,,,21397600
,,,,,,13563200
,,,,,,14274400
,,,,,,17651200
,,,,,,19600000
,,,,,,25849600
,,,,,,17029600
,,,,,,83238400
,,,,,,49918400
,,,,,,30850400
,,,,,,73466400
,,,,,,70392000
,,,,,,48720000
,,,,,,79626400
,,,,,,92999200
,,,,,,73287200
,,,,,,101628800
,,,,,,79329600
,,,,,,81855200
,,,,,,65111200
,,,,,,40017600
,,,,,,63750400
,,,,,,101253600
,,,,,,59656800
,,,,,,49431200
,,,,,,22321600
,,,,,,25676000
,,,,,,54930400
,,,,,,70487200
,,,,,,48367200
,,,,,,108763200
,,,,,,75314400
,,,,,,42240800
,,,,,,48328000
,,,,,,30027200
,,,,,,39065600
,,,,,,79609600
,,,,,,41753600
,,,,,,60575200
,,,,,,37072000
,,,,,,82107200
,,,,,,40364800
,,,,,,25636800
,,,,,,27244000
,,,,,,21061600
,,,,,,29282400
,,,,,,28929600
,,,,,,25239200
,,,,,,22444800
,,,,,,28649600
,,,,,,40236000
,,,,,,29881600
,,,,,,35476000
,,,,,,21151200
,,,,,,41871200
,,,,,,37161600
,,,,,,94320800
,,,,,,29579200
,,,,,,35498400
,,,,,,39916800
,,,,,,44766400
,,,,,,23296000
,,,,,,23912000
,,,,,,47667200
,,,,,,43075200
,,,,,,30273600
,,,,,,42173600
,,,,,,33986400
,,,,,,50747200
,,,,,,21212800
,,,,,,26006400
,,,,,,19476800
,,,,,,8293600
,,,,,,23508800
,,,,,,44811200
,,,,,,50114400
,,,,,,35834400
,,,,,,18485600
,,,,,,31259200
,,,,,,49907200
,,,,,,71433600
,,,,,,75919200
,,,,,,154515200
,,,,,,156699200
,,,,,,83120800
,,,,,,73600800
,,,,,,64405600
,,,,,,99344000
,,,,,,60362400
,,,,,,43517600
,,,,,,44721600
,,,,,,36204000
,,,,,,38483200
,,,,,,34613600
,,,,,,44884000
,,,,,,55104000
,,,,,,20854400
,,,,,,17724000
,,,,,,21918400
,,,,,,14789600
,,,,,,18530400
,,,,,,12740000
,,,,,,34462400
,,,,,,29960000
,,,,,,25939200
,,,,,,32743200
,,,,,,20815200
,,,,,,16156000
,,,,,,38096800
,,,,,,33280800
,,,,,,51833600
,,,,,,61717600
,,,,,,48188000
,,,,,,24326400
,,,,,,26572000
,,,,,,16542400
,,,,,,24959200
,,,,,,19751200
,,,,,,41697600
,,,,,,27742400
,,,,,,26482400
,,,,,,58352000
,,,,,,24444000
,,,,,,29562400
,,,,,,30105600
,,,,,,31371200
,,,,,,24393600
,,,,,,11743200
,,,,,,31315200
,,,,,,91212800
,,,,,,45690400
,,,,,,66449600
,,,,,,60816000
,,,,,,29506400
,,,,,,39160800
,,,,,,61790400
,,,,,,81530400
,,,,,,28688800
,,,,,,46608800
,,,,,,41753600
,,,,,,39541600
,,,,,,28711200
,,,,,,12661600
,,,,,,18648000
,,,,,,15058400
,,,,,,11760000
,,,,,,6921600
,,,,,,26342400
,,,,,,56330400
,,,,,,57887200
,,,,,,22030400
,,,,,,73533600
,,,,,,28313600
,,,,,,31668000
,,,,,,26084800
,,,,,,26650400
,,,,,,41440000
,,,,,,58245600
,,,,,,65811200
,,,,,,44682400
